肖申克的救赎,9.7,1908418人评价,https://movie.douban.com/subject/1292052/,不需要女主角的好电影,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》,策划了19年的私奔……,有种鸟是关不住的.,因为1994年台湾引进了一部比较卖座的老片The Sting，被错译成了《刺激》。到了1995年本片上映时，片商觉得其剧情与《刺激》有类似的地方（大概都属于高智商的复仇？），因此被译成了《刺激1995》，1998年又有一部片子Return To Paradise因为含有牢狱情节，被译成《刺激1998》！
海边的曼彻斯特,8.6,337550人评价,https://movie.douban.com/subject/25980443/,那些劝我们向前看的朋友，“不是所有人都可以和过去和解”,这么多年看电影教会我尤为重要的一点就是独立意识，不要去迷信什么口碑，自己的感受是怎样就怎样，怒我直言，真没看出这片子好到了什么程度。,又名《回忆杀》。有遗憾和失望，二刷后感觉对角色的好感甚于电影，卡西的角色写得演得太饱满了，让我对这个角色产生了依恋感。,如今的影评人动辄靠骂“中产阶级”来博人眼球，只要喊“中产阶级”去死就有SB点赞，这我忍了，可是！人家一水管工也要被讲成是中产阶级，实在替凯西咽不下这口气！看电影只看到“阶级地位”、“政治目的”，人电影没你想的这么黑暗！而且我天C也已有25%的人是中产阶级了， 各位中产请不要自己打脸！,人生的伤口，二十五岁之前怪父母，二十五岁之后怪社会，最惨就是巨大伤口摊开在那里，腐臭流脓永不愈合，然而，无人可怪
海街日记,8.8,260092人评价,https://movie.douban.com/subject/25895901/,把绫濑遥、长泽雅美、夏帆拍得美，是一件太简单的事——譬如开头。但在多数时候，是枝裕和故意让她们显得没有那么美，与那座老房子和日常事物紧密粘合。一花一世界，一木一浮生。反正打开二十秒，后面就停不下来，不想快进不想暂停更不会想关掉。说很平淡很无聊的，开什么国际玩笑啊。,“活着的东西都是很费工夫的” 淡淡的日本家庭片。只需微笑和淡然，便可解开心结。,“生活中的人来来又去去，自己的日子还是要一步一步走”，处于道德困境中的普通人，要如何通过和家人的沟通达成和解，大约是所有是枝裕和电影的主题。电影始于葬礼，终于葬礼，却感觉不到悲伤，如绫濑遥的笑容，安定又给人希望。剧作为了面面俱到，说得很“圆”，所以可能有点刻意,镰仓，小镇，海，房子，家，食物，四姐妹，是亲情和生活的美好。有死亡，有别离，有苦乐参半的记忆，四季的风景轮回，小镇的生活点滴，食物是生活的态度，吃就是活着的一部分，很温暖，很治愈，是枝裕和导演越发有大师风范了，这个世界上也只有日本导演可以拍出这么细腻美好的家庭剧。★★★★,不能以过去的眼光去看是枝裕和了，发行从艺术院线到东宝，五十多岁的是枝裕和才第一次拍摄人气女优主演映画，一来还是四个，“压力”确实不小。电影虽然剧本和剪辑上都有些问题，但“女优美，长腿美，镰仓美，日料美，生活美”可以掩盖了这些问题。四姐妹几乎都完成了自己最好的表演，年度推荐！
二十二,8.7,202483人评价,https://movie.douban.com/subject/26430107/,我个人很欣赏导演的镜头语言，不掺杂过多的个人见解，没有试图把国家的灾难强加给个人进行“升华”，也没有过多感情的宣泄，零碎化、生活化的呈现，描述的近乎是二十二个普通老人的晚景。这也就够了。,对她们的正确称呼是<二战期间被迫充当“慰安妇”的受害者>。,我们从不缺乏对英雄的崇拜，可很少有人佩服平凡人承受苦难的那种了不起。 ,一生的苦难都过来了，到最后也只有一座卑微的坟头。2017观影最佳。,看看那些整天喊着要打仗的脑残们。
虎口脱险,8.9,161302人评价,https://movie.douban.com/subject/1296909/,"娘的,这就是货真价实的喜剧片",老少皆宜，上海译制片厂献声,法国的轻喜剧。你只有越看越像喜剧。,永远都记得在浴室里唱着“鸳鸯茶、鸳鸯茶”、对眼打飞机，经典喜剧,“胜利属于我们” 没想到60年代就能产出如此纯粹的喜剧。
新世界,8.8,210109人评价,https://movie.douban.com/subject/10437779/,弄巧成拙姜科长，无心插柳李子成，唯我独尊李仲久，超长待机是丁青，壮哉天朝大黑客，实力助攻小延边，智商不够高局长，我没看够宋智孝,md，太好看了，害怕她一点点演完。虽然一开始就猜到了结局，但是拍的真带感啊，尤其是戏骨黄的车库突围戏，那叫一个悲壮。棒子又一次感动了我，好电影,最后还是华侨统一了南棒黑社会，中国人最狠啊。。。,怎么办，，，，我觉得他比吴彦祖都帅,想对姜科长说 做人要厚道 做警察尤其要厚道 不信抬头看 黑道自有真情在 BGM怒赞
房间,8.8,269599人评价,https://movie.douban.com/subject/25724855/,小演员没提名最佳男主角，一定是为了把小金人让给莱奥纳多。,获救或创伤治疗的故事本身俗套，杰出之处是对那个孩子经验的世界的展示，我们都曾独有那个先验的经验主义的特异时空，却最终被这个符号的单一世界取代，有人温柔告别有人没有告别有人甚至忘了它的存在。问题不在于world解放了room，而是我们应该将room扩展至world，如果这真的是德勒兹的世纪。,小孩完爆小李子,多伦多人民眼泪奖吧。Room是牢笼，母子俩一直都在逃脱，前半部是身体逃脱，后半部是心理逃脱。前半部有噱头博眼球够精彩，母子第一次在外面世界拥抱时无比催泪。但之后对心理上的转变的处理有点软塌塌，能感觉已经克制煽情，但试图从小孩儿的视角来描述心理上的微妙转变似乎难度过大，没拿捏好。,目前看到的年度最佳！在相对自由和绝对自由之间，电影让我看到了人活在现代社会究竟是一个什么样的状态。虽然空间的转换让电影表面上画风突变，实际上不同空间里人对周围的反应没有变，时而压抑得令人发抖，时而被温情融化。爱让人安全，为了得到安全我们开始占有，占有又毁灭了爱。
雨中曲,9.0,141396人评价,https://movie.douban.com/subject/1293460/
哈利·波特与密室,8.6,373974人评价,https://movie.douban.com/subject/1296996/,snape越看越可爱。这部好多梗哈哈。,略逊于前作，但有精彩的剧情作支撑，整体还是不错的，赫敏越来越漂亮了。,"""It is not our abilities that show what we truly are,it is our choices.""👍（ps：Dobby好可爱～😄）",3星半，比哈1加半星，我最不满意就是电影根本都没把要讲的事情讲清楚。如果时间不够的话，变身高尔那对胖子不知道有什么必要描述那么详细，完全是主次不分。金妮的事情根本就没有讲，完全是最后一句话交待，太无语了。,重温有个好处，就是能发现很多从前没注意到的小细节。例如金妮见到哈利一声尖叫，例如弱鸡的罗恩二话不说掏出魔法棒攻击对赫敏出言不逊的马尔福，例如哭泣的桃金娘的回忆。坏处就是以现在的眼光看总觉得伏地魔输得憋屈，最后的决斗也打得像过家家。
恐怖游轮,8.5,536331人评价,https://movie.douban.com/subject/3011051/,好吧，Triangle，多好的名字，谁TM给译成《恐怖游轮》这个标准的B级片片名的！？,在叙事上真是一个奇迹。自《蝴蝶效应》以来，看到过最好的叙事逻辑。,无限循环。衔接点是个漏洞。洞不大。,所谓心魔往往就是一念之迷。其实只需在任一环节小小改变，循环即可终止。有话说：人生大部分痛苦，都來自于该离场时，不愿离场的执著。不过，西西弗斯式的轮回，看似一个惩罚，一个永远沉沦、万劫不复的诅咒，同时却也是我们籍由“一再面对相同的境况”，而学会和弄懂生命课题，并由之毕业的唯一方式。,影评有时候可以比影片本身更牛逼
人工智能,8.6,298225人评价,https://movie.douban.com/subject/1302827/,那只熊在自己缝自己！！,如果不能爱我很久，为什么要启动我爱的程序？,让我看哭的都是好电影,我只想成为你的唯一，获得你全部的爱。,每看这样的片子，都对人类更绝望。卑鄙、愚蠢、自私、懦弱、残暴，实在是宇宙间最丑恶的生物。别怪塞林格会说：我认识的人越多，我就越喜欢狗。
魔女宅急便,8.6,319003人评价,https://movie.douban.com/subject/1307811/,我喜欢她头顶的大红蝴蝶结，还有狠狠白那个小男生的一眼,宫崎骏的动画总会让人觉得这个世界美好无比。,空中快递将会是未来物流业的核心！没想到日本人早在上世纪80年代就想出来了！7.7,这是一部令人身心愉悦的动画片，画面柔和甜美，音乐明快，观影过程如同在海边沐浴着柔美的海风，心旷神怡。两只猫轻轻走过爬满青藤的墙上，那种水粉画般阳光充沛的慵懒午后的感觉在心中荡漾开来，世界是如此美好。这就是我们心目中理想的海边小城，宁静祥和，人们衣着整洁、面带笑容，永远快乐地生活,自从吉吉不再讲话，我的姨妈就使劲作
惊魂记,8.9,153459人评价,https://movie.douban.com/subject/1293181/,看这部电影必须回答一个经典的问题：女主角遭到刺杀时，镜头直面花洒，花洒每一条水痕都清晰无误如同肉眼看着一样上镜。请问，摄影机是如何做到的？,且看诺曼的last smile  毛骨悚然！,80W成本的电影业同样可以做到流芳百世，希区柯克缜密的思维、独特的运镜，加重了对细节的刻画，其隐喻也值得回味，结尾那具骷髅头更让人不寒而栗。据说此片开创了人格分裂电影的先河，同时也暗示了希区柯克本人的“厌女癖”。,都不敢洗澡了...,希区柯克这回出现得太早了点，让观影的乐趣一下子降了不少。还有最后那个心理医生那趾高气扬的神情让人很不舒服。
海洋,9.1,126132人评价,https://movie.douban.com/subject/3443389/,摄影加一星。影片本身缺乏凝聚力，几乎为单纯的影像展览。,人类是大自然最纠结的发明。但凡在大自然的和谐静美中出现人类的身影，非凶即恶、非恶即丑，一定是地球上最丢脸的存在、最恶心的物种，优胜劣汰、适者生存这样的说法可用来解释自然，但被用作强奸自然的由头、自我炫耀的工具，一切就变成屎了。如果人是不自大狂傲而只是充满好奇心和谦虚的态度，多好。,画面什么的没的说，但是好像没什么主题，只是硬要往环保上扯而已。,大自然很美好。而择其美好，为其配乐，加以剪辑，使之美好得如梦似幻曼妙呆萌壮丽秀雅，就是智慧了。 ,觉得阿凡达很壮丽？你得看看这个。
疯狂的石头,8.4,542471人评价,https://movie.douban.com/subject/1862151/,国内好电影,重温。别说，这片还真能经得住考验，也不是简单一句模仿盖里奇或多线叙事就能概括的。特别里面几组的人物都不仅仅是作为结构故事制造笑点等功能性的存在，而是几乎每位出场人物塑造的有头有尾性格鲜明紧扣主线笑果突出，还贴近生活反映现实，这就很难得了，在这方面石头其实做的比烟枪还要好点。,真大很有趣,有技巧的娱乐片,算比较经典的黑色喜剧片了，影帝真不是盖的
奇迹男孩,8.6,390896人评价,https://movie.douban.com/subject/26787574/,有种糖放多了的感觉，精华基本都在预告里了。但对孩子们的纯真友情毫无抵抗力啊，就像被温柔的抚摸了一下软肋。Jacob Tremblay涂着厚厚化妆都能感受到演技，小李子真好意思把奥斯卡摆在家里吗...,“生命流逝太快，我们都没来得及多看对方一眼。” 那个帮助奥吉的同学杰克·威尔，在跟同学打架后，委屈扑在老师怀里的表情太心碎了…,买票的时候很纠结，因为是完全可以预料到的剧情。这种温馨少年故事虽各各不同却又次次类似。若是你近来心情疲惫，这部电影是个流泪的好借口。,把“生而为人，很抱歉”，变成了“是个人，都应该与人为善”，多视角还挺有意思的。人与人的孤独重量，都是同一种地心引力。虽然不出意外的，所有人都是自带光芒的nice好人。,结尾把奖颁给另一个小孩就好了，特殊人群需要的不是特殊关注，而是不被当成特殊人。
罗生门,8.8,206677人评价,https://movie.douban.com/subject/1291879/,谎言是人性的救命稻草,倒没见着大的恶，只见到了人的软弱以及在他人面前掩饰这软弱。。或许软弱就是恶？片头还以为是中国片呢，林中那段光影很不错。里面的笑声有些做作。。。,1950年，震撼！,"如果早看便会早明白一些事,但有些错仍需不可避免地犯.所以不必费劲脑子想那些没亲眼见到的事.见到都未必与对方达成共识,何况只是听说只是异想.",人类生来就是自私的，在这个故事里没有谁对谁错。谎言＋推翻，即使在近几年这种形式仍旧很时兴。
燃情岁月,8.8,206857人评价,https://movie.douban.com/subject/1295865/,我欣赏忠诚于内心，忠诚于野性的灵魂，因为他们坚持自我所付出的代价，我付不起,波澜壮阔的西部美景 令人无法拒绝的自由之彼特 我心狂野 不是人人都能够懂得,皮特就是这部最帅了吧,TRADITION.真他妈legends！里三层外三层都是琼瑶阿姨...妻离子散哦...家破人亡哦...国家使命哦...男才女貌哦...宏大家族哦...爱得死去活来哦，女主角出场必洒眼泪...我对此类型已无感...,是深渊也是大海，谁能担当 
终结者2：审判日,8.7,239670人评价,https://movie.douban.com/subject/1291844/,液体机器人好帅,宿命的终结，伟大不仅在于超越时代的特效。,"影史少见的第一部就足够经典，续集还能超越第一部的电影。
《终结者1》中，约翰·康纳将里斯传送到过去；
里斯又和莎拉·康纳生下约翰·康纳，形成一个闭环。
《终结者2》也是如此，正是天网将T-800传送到过去，才让人类得到终结者的芯片，从而得到灵感发明了天网，互为因果。
所以他们要找到迈尔斯·戴森，打破这个循环。
迈尔斯·戴森在平行宇宙是发明天网、间接毁灭世界的罪魁祸首，在这个宇宙却成了以生命为代价保...",液态机器人的创造者叫戴森，所以脑袋就经常被轰成中空的圆形。（胡扯==,永远记得第一次看本片时的情景，那个下着雨的清晨，用家里的旧DVD播放器放了那一张不知道从哪里搞来的港台盗版光碟，用半上午时间看完了本片，时至今日我依旧能够回忆起当时哭成狗的我，它给年少的我带来的震撼是永生难忘的
魂断蓝桥,8.8,188189人评价,https://movie.douban.com/subject/1293964/,山盟海誓玉人憔悴 月缺花残终天长恨,"那么多爱情，都在等待中蹉跎了。别让你爱的人等你太久。 
",“我爱你，我从未爱过别人。”经典的爱情故事就是无论发生在什么年代，无论是在什么样的文化差异下，都能够唤起大家共鸣的情愫。★★★★,片子本身中规中矩，费雯·丽演技要加分！全片明确回避了“prostitute/whore”词汇，爱情戏也拍得比较克制，滑铁卢桥自杀场景的剪辑很棒，主题曲《Auld Lang Syne》闻名遐迩，让人百听不厌~ 但个人极度不赞成电影宣扬的这种保守甚至扭曲的价值观，更喜欢女二号的性格和思想。（8.0/10）,难以想象这部美国电影竟是近80年前拍摄出来，水准之高让人咋舌，观影过程非常投入，纯洁的爱情让人心生感慨，结局之悲哀让人无比痛心，估计当年在电影院赚了不知道多少美国人的眼泪。说回故事，故事脉迹非常简单易懂，一个纯真的女人因爱人之死心灰意冷，落魄到需要出卖自己的肉体，电影在处理这一段时非常含蓄克制，由始至终没有出现过多显眼台词去提醒观众女主角的卖肉事实，可是却让懂的人更为着急，重逢一幕让人感动，最终的...
穿越时空的少女,8.6,283333人评价,https://movie.douban.com/subject/1937946/,打多少星都不够,只因为青春不可重来，于是我们才会如此缅怀。这就是为什么关于青春的故事永远有人在讲，永远有人在唱，也永远有人愿意听。白驹过隙，时过境迁，岁月磨平了棱角，时间改变了容颜，唯独记忆被永久保留了下来，等到青春静静的沉淀，你是否能读懂了那封在青郁时光中埋藏在心底的情书？,情节未必值得推敲，但那份有关青春懵懂的情感十分真挚，令人感动。,"最后千昭的那句“我在未来等你""足以秒杀一切。 放课后的棒球、蝉鸣、反复跳跃只为吃到一个布丁，缺乏的勇气和自行车一遍遍经过的河堤，所有的一切都融化在那个夏天和你分离。",好想回去啊，那时候的一件小事，都是眼前的“灾难”，不会应对只能逃避，心里默念“快点过去吧快点过去吧”，就真的这样一下子过去很多年。再想回去，次数用完，谁都办不到了。
爱在午夜降临前,8.8,208605人评价,https://movie.douban.com/subject/10808442/,结婚快10年互相之间还有这么多话可讲，还有性生活，这他妈不是真爱是什么？,浪漫是浪漫，生活是生活。爱  是爱。这是三件事。它们相互不矛盾，不对立，它们只是，很难统筹兼得。（看到有恋人在我这条微薄里留言给另一半：“想在你拥有我的日子里，给你一个三者并包的人生。”默默地说，祝福你们！）,飞一般的超越，硬生生的被朱莉的嘴炮给弄哭了。。那些随口就能背诵莎士比亚台词的人们是多么的可恶啊！那些吃个下午茶都在谈哲学谈人生的人们是多么可憎啊！那些连夫妻吵架都引经据典的男女是多么可怕啊！对彼此来说我们多么重要，可最终还是过客，我失去你，不是以死亡为界，而是再一次。。再一次。。,“他们竟然____了”模式开启。从爱情的偶然到爱情的实然，浪漫也终于被相处的实用性取代。“就像日出日落，我们出现，我们消失，可最终只是经过。”那些琐碎的争吵怨念放在时间的河里似乎也就不算什么了。他最后向她朗读了一封40年后的来信——原来前18年还只是序曲，我流泪了...,作为Before的系列路，我终于在中年危机这里转了粉。Sunrise太甜，Sunset偏酸，只有Midnight酸甜苦辣都入了味。数度被台词戳中，我不得不一再提醒自己：那些只是台词，它们不是真的。
初恋这件小事,8.4,727624人评价,https://movie.douban.com/subject/4739952/,一场强大的暗恋背后其实还有另外一场相反的暗恋,要不是这狗血的结尾我会打五星的！最让我感动的反而不是初恋了，是这群丑小鸭之间的友谊，让我想起我初中时候的那群小姐妹，“朱古力跳跳队”——谢十三、吴玲、杨秀丽、徐星云、拉链、吴美，还有我，一共七个，傻妞！十二万分怀念那个时候的我们……向青春致敬！,MLGB，同样是暗恋，哥只能换回“其实你是个好人”,我好想跟男主角初恋啊！！！要不然初夜也行……,泰国青春电影总喜欢把简单事情复杂化（动不动还喜欢搞个再过N年后我们来相会），但你又不能不承认小清新这种东西人家是越来越玩转了。女猪那变化也忒大了前后判若两人；Mario整部卖萌啊！还胖胖瘦瘦的来回变啊~真神奇。自己跟那儿翻本子小感伤那段小感动了；阿拓学长很自私，鉴定完毕！
可可西里,8.8,198706人评价,https://movie.douban.com/subject/1308857/,看了陆川近年的作品...觉得这片绝壁不是他拍的,看着藏羚羊的眼睛，你的内心会怎样？,不是路川会做的更好,这次真不是因为陆川成功抢占道德制高点。看得我口干舌燥。,撇开抄袭、媚俗与占据道德制高点的嫌疑，影片本身质量还是没有问题。偏向伪纪录片式的写实主义风格，避免了刻意煽情或戏剧性渲染。摄影极美，表演过硬。流沙段落携带着窒息般的绝望与无言的惊惧；遍地的藏羚羊新鲜骸骨；星空。| 在这里，你留下的每个脚印都有可能是人类留下的第一个脚印。（8.5/10）
2001太空漫游,8.8,187774人评价,https://movie.douban.com/subject/1292226/,既为举世公认之经典，必有高深奥妙之内涵。若觉难以理解，不妨从自身找找原因。对超出自我认知水平的事物极端排斥已属不智，再加以肆意的诋毁和谩骂只会将无知与庸俗进一步放大。更有甚者分明是哗众取宠，名为鄙视随波逐流，实则借机标新立异，以此彰显自己是如何的与众不同。实乃跳梁小丑，贻笑大方。,原作作者克拉克：“如果有人觉得完全弄懂了《太空漫游2001》在讲些什么，那一定是我和库布里克弄错了。”,这不是照着剧本拍的，而是曲谱,李安评价自己最爱5部电影之一时说： “我非常崇拜库布里克，关于《2001太空漫游》我无法说清它究竟是一部怎样的电影，我当年第一次看这部影片时，它深深地吸引了我，那种感觉就像吃了迷幻药之后的幻觉经历。” 今天在资料馆大银幕体验，修复版让这种幻觉变本加厉，渗入到每一根神经。,牺牲了部分叙事节奏，但构筑起来的完整世界让人目瞪口呆。我觉得我要暴走了：这怎么可能是1968年的电影！！！这怎么可能是1968年的电影！！！它反科学反伦理啊！！！
完美陌生人,8.5,383735人评价,https://movie.douban.com/subject/26614893/,特别喜欢男主人和胖基佬这俩角色。,来啊，互相伤害啊！,结局怎么可能是和好，是没有做游戏的平行世界啦，彗星来的那一夜姊妹篇,通过男主人来看，看心理医生还是有用的；通过女主人来看，心理医生的生活也会很糟糕的~,人和人之间的关系是脆弱的
绿里奇迹,8.8,179732人评价,https://movie.douban.com/subject/1300374/,片子缺少一种关键的非现实渲染，让人感觉离奇得难以接受，但是仍然是一部好片子,天使也怕黑暗。,能把悬疑拍的好看我觉得有难度，虽然接近200分钟时长，但却不觉得冗长，值得回味的电影。,虽然很长，但真的好看,"故事性很强的传奇宗教寓言式电影。神爱世人，而世人却不理解这份爱。人类摧毁了神迹，而神却不忍让世人背负这罪名。1.【you can't hide whate's in your heart】2.【What happens in the Mile, always stays in the Mile. 】3.【If don't help,don't tell him.Ever.】4.【awful tir..."
小偷家族,8.7,549167人评价,https://movie.douban.com/subject/27622447/,最费力的成长留在树上的只有壳，最狰狞的伤口留在皮肤的只有疤。最动人的烟火绽在空中看不到，最深沉的感谢飘进风中听不清。你教我食物最美味的吃法，却教我获得食物最羞耻的手法；我学会祈祷最灵验的手势，也学会用来祈祷最不齿的心愿。我在商店里偷换掉童年，你在泥土里掩埋了伤疤，而我们组成了家。,那些说是枝一直致敬小津的人可以歇歇了。这次他拍了部让小津最深恶痛绝的今村昌平式的蛆虫电影。在瓦解冷漠虚伪的传统家庭概念的同时，他呈现了萍水相逢的蛆虫之间可以有怎样真挚动情的爱。一部以弱者的温和善意与牺牲精神挑战人类道德伦理制度上限的无政府理想主义之作。,“我只能教他们这些了” 特别安静，却有很大的力量，特别湿热，却像夏风一样清凉拂过…我小时候是从大桥下被捡回来的，我弟弟是从垃圾堆，为什么小时候家长都热衷于捡孩子？,水准接近是枝裕和最好的“步履不停”。几乎所有导演在拍摄底层家庭题材时都会有意无意的使用自上而下的镜头，只有是枝裕和永远能够保持温暖的平视。电影含蓄的再定义了家庭和亲情：在商店倒闭前，里面的东西都是无主之物；在这个小小家庭分崩离析前，他们就是有爱的一家人......,看的时候平平淡淡地过去，看完后简直不能细想，越想越沉痛。“羁绊”，卑微之人偶尔的连接生出从原生家庭那里得不到的温情，如此珍贵，也如此脆弱。每个人都被冲散了，孤零零地独自面对世间凉薄。活下去真难。
牯岭街少年杀人事件,8.8,173817人评价,https://movie.douban.com/subject/1292329/,近四个小时的长片，我一直不入戏，张震也青涩得让我无感，直到Honey的出现，我才静了下来。这个小混混里的前老大，竟然穿着海军服，又帅又温和，席地而坐说起他看过的最厚的一本武侠书，叫《战争与和平》，英雄主义浪漫至极致的悲壮。,威权压制平民，富人压制穷人，年长压制年幼，男人压制女人。被压制者又将对无可奈何自我的愤怒投射、发泄到食物链的更下端。坦克轰隆隆碾过，夏天要结束了，身后留下少男少女的尸体。200118 重看 @Metrograph.,张震小时候好萌...小明同学你好丑,【A+】杨德昌把这个世界看得太透了，透的可怕。,哈尼在国歌中缓缓穿过僵硬不动的人群，让人感到这是一个氛围诡异的政治时代寓言。黑帮冲突下是本土与外省的尖锐对立，面对“不要脸”的权力存在他只身求死成为本土命运的先知，无奈彼时无人理解他的行为，只有小四在环境的钳制下逐渐堕入没有出路的深渊。杨德昌超越自己水平的发挥。
阿飞正传,8.5,339234人评价,https://movie.douban.com/subject/1305690/,总有一些人以为自己是鸟。,他最终还是没能飞起来；她最终还是忘却了；他最终还是没能接到电话；她最终还是割舍不断；他最终还是卖掉了车；她最终还是去了美国；他最终还是踏上了2046；他们 最终 还是……,你 风华绝代,一群人的经典,愣头青假装小资青年
无耻混蛋,8.6,338538人评价,https://movie.douban.com/subject/1438652/,当法国人不讲情义，美国人不讲人权，德国人不讲原则，英国人满脑浆糊，犹太人大开杀戒，希特勒就死了。,希特勒死的时候我傻了,引用某影評人曾說的話：「一些得令的導演，由於創作泉源枯竭，只會從B級或C級垃圾片堆中覓食，美其名說向它們致敬，終究下過是垃圾再造垃圾而已。」,电影的魅力，他用电影创造历史,这部电影告诉我们：绝对不能相信美国人！
香水,8.5,404369人评价,https://movie.douban.com/subject/1760622/,一个单凭体香达到高潮的男人,有人曾告诉我他不顾一切寻找的其实是爱情的味道，爱情也有香吗？他试图拥有世上最奇异圣洁的香水，当世人在广场狂欢，以达爱与欲的颠峰，他却在最后发现他已失去爱人的能力。没有爱情，香味消失了。他仿佛从未存在过。,广场上，众人皆醉他独醒，众人皆X他盛装。,用少女的体香，酿造出最蛊惑的香水。只不过是为了留住爱人的气味，他所以为的救赎。而其实，“他本身其实就是一瓶香水，馥郁绽放之后终会随风消散。”,如果当作一个犯罪片来看就大错特错了。对白不多，但镜头美的像会说话一般，万人发春的场面堪称经典。这海报跟东野君《变身》的封面有什么关系？
谍影重重2,8.6,249521人评价,https://movie.douban.com/subject/1308767/,俄罗斯出租质量真好,"我发觉叫JB的都很厉害，是不是？James Bond, Jason Bourne",整个片子干净利落，扣人心弦。对自我身份的确认与对过去的救赎又让影片多一份厚重。,环游欧洲风情片..,马特达蒙最喜欢的动作影星。
新龙门客栈,8.6,301938人评价,https://movie.douban.com/subject/1292287/,那时甄子丹还没出名，在演大反派，林青霞因为《东方不败》、梁家辉因为《情人》都红到爆，但该片的最大受益人却是张曼玉。那个风骚入骨的客栈老板娘，成了武侠影史上跳不过去的一页。今后恐怕没人能比张曼玉演江湖客栈里的老板娘演得更好了。,无法超越的喜欢，风流却不下流，严谨却也狡猾的周淮安。风骚却不下贱，义气却不蠢钝的金镶玉，以及外刚内柔的真女人林青霞。比起后期的沉默气质，我更喜欢这与青蛇时期的张曼玉。每个演员都无出其右，每个节奏都恰到好处。心中最深的火舞黄沙之梦，有余悸更有不舍。,张曼玉真是风骚啊,当时觉得太cult了！,有眼不识金镶玉，当然不是说这里的老板娘，张曼玉的角色真的很百变，可温婉可风尘可纯真可忧郁，似乎没有她驾驭不了的角色了。
猜火车,8.5,330626人评价,https://movie.douban.com/subject/1292528/,墮落也需要天分。,"每个真理让人安宁，不是吗？如同坟墓。每个人都奔向它。 一直认为《猜火车》的片头是最棒的。
 
",我有时候想不明白，吸毒的人，到底是因为太不快乐，而是太快乐。,口音太强大 求循环十遍洗脑 从此用上了最潮款的苏格兰乡下口音,说实话，我真不好意思把这电影加进来，因为好多缺货都拿它当作粉饰太平的伪装！~
源代码,8.4,581185人评价,https://movie.douban.com/subject/3075287/,如果结局停在那一吻我就给四星半了。,一部商业片，一部穿越剧，救无辜百姓于水火，顺便谈谈风月，这么老套，这么制式，为什么竟能如此触动人心?,太憋屈了，不是太空舱就是火车厢，幸好他最后出去了，要不得憋死我,Inception+Groundhog Day，现实和记忆是相辅相成的，只要能生存的有意义管它是哪里，何况这本身就是一个平行宇宙。结尾定格在静止画面时才是真正完美的结局，之后几分钟剧情完全可以忽视。,结尾又狗血了。
谍影重重,8.6,298423人评价,https://movie.douban.com/subject/1304102/,喜欢Bourne的冷静。当Matt Damon打开银行的保险柜时，我突然发觉，世界之大，持有三样东西便可畅通无阻：金钱，身份（也可理解为地位），枪（强权）。要求自己象特工一样生活显然是很辛苦且不切实际的，然而，有些时候，特别是面对危机，试着用特工的思维方式去看待问题也许会很有效，特别是对于男生。,"马特达蒙的外貌在帅哥扎堆的好莱坞实在不算起眼,却又如此特别,总能为你喜欢他找到一个理由.他演天才,演间谍,演神偷,睿智,冷静,从容,身手敏捷,眼神偶尔忧郁,偶尔深情,偶尔锐利充满警觉,走路时姿势总是很怪异,他不常笑,但不经意展露笑容时,会觉得他的笑像孩童般天真,那么有感染力,一不留神已被他俘获",简洁有力,只有动作片，才能如此深沉霸气地表达人类的困境吧！,最后一个杀手内忧郁的眼神呐~~~~
战争之王,8.6,252122人评价,https://movie.douban.com/subject/1419936/,如果有六星，我会打的,记得住的几部片子之一~很羡慕主角~并不觉得他失去了什么~,还行吧，记录了一个超级军火商的职业生涯、生活、以及心理状况等等，其实这些东西主要还是为了讽刺世界上的灰色政治与背后的政府，归根到底，说反战也好，说晦涩的批判也好，最后都看明白了，就得了，算比较平铺直叙的东西。,记起深夜独自观看这部片子，巨大的投影幕前..一个关于俄国移民铤而走险，爱上人，走大运，终于离开心爱的孩子，变得无比冷酷，被抓却又被体制放生的故事——尤里特地将生意和生活分得很开，但无论是弟弟还是妻子、家庭，一次又一次地卷进去.最后不得不丧人性.孩子拿着铁丝弯成的枪射击，暗示颇深远,灰色行业翘楚的半传记性质影片，与性书大亨、烟草之王相似，具备了成功的人物塑造与微妙的道德讨论。（小记：弟弟维的自毁心理与纯真的素食者如出一辙，身为生产消费中堕落且重要的一环，痛改前非，蚍蜉撼树，但请不要忽视渺小个体的反抗，因为那是一种非常难得的道德自觉。）
青蛇,8.5,347660人评价,https://movie.douban.com/subject/1303394/,九三年的徐克真先锋,李碧华的爱情模式，得而失才让情更刻骨，碎彻底才让痛更铭心。青蛇与法海交欢的戏藏得够深，很有佛理。,两人的“扭啊扭”到现在我都还记得。,特技算什么，再爛的特技也不能阻止一部牛片兒的誕生……,红玫瑰与白玫瑰——青蛇与白蛇——许仙与法海。诱惑的两面。
